date,NASDAQ 100 Tech Index,S&P Healthcare Index,Gold_Price,Oil_Price,Dollar_Index,Gold_Volume,Oil_Volume,BEIR,VIX index
2024-01-05,9122.27,1623.31994628906,2042.40002441406,73.8099975585938,102.410003662109,12,325525,2.22,13.3500003814697
2024-01-08,9382.04,1636.9599609375,2026.59997558594,70.7699966430664,102.209999084473,10,392249,2.22,13.0799999237061
2024-01-09,9431.27,1637.63000488281,2026.40002441406,72.2399978637695,102.569999694824,27,363445,2.22,12.7600002288818
2024-01-10,9488.72,1644.43994140625,2021.69995117188,71.370002746582,102.360000610352,538,352772,2.22,12.6899995803833
2024-01-11,9539.06,1642.57995605469,2014.30004882812,72.0199966430664,102.290000915527,97,373645,2.22,12.4399995803833
2024-01-12,9534.17,1637.75,2046.69995117188,72.6800003051758,102.400001525879,390,403636,2.27,12.6999998092651
2024-01-16,9562.14,1628.68994140625,2026.0,72.4000015258789,103.360000610352,46,430437,2.3,13.8400001525879
2024-01-17,9485.01,1624.75,2002.59997558594,72.5599975585938,103.449996948242,764,315679,2.3,14.789999961853
2024-01-18,9658.97,1624.93994140625,2018.59997558594,74.0800018310547,103.540000915527,1474,86646,2.34,14.1300001144409
2024-01-19,9921.77,1625.98999023438,2026.5,73.4100036621094,103.290000915527,50,78234,2.34,13.3000001907349
2024-01-22,9994.6,1632.17004394531,2019.80004882812,75.1900024414062,103.330001831055,12,372284,2.31,13.1899995803833
2024-01-23,10035.03,1631.30004882812,2023.69995117188,74.370002746582,103.620002746582,15,306060,2.29,12.5500001907349
2024-01-24,10103.12,1616.47998046875,2013.90002441406,75.0899963378906,103.23999786377,253,323726,2.3,13.1400003433228
2024-01-25,10092.35,1612.81005859375,2016.90002441406,77.3600006103516,103.569999694824,548,320177,2.29,13.4499998092651
2024-01-26,9947.71,1622.26000976562,2016.80004882812,78.0100021362305,103.470001220703,49,365456,2.3,13.2600002288818
2024-01-29,10077.29,1633.35998535156,2025.19995117188,76.7799987792969,103.610000610352,150708,331925,2.3,13.6000003814697
2024-01-30,9974.82,1637.40002441406,2031.5,77.8199996948242,103.400001525879,26907,347242,2.26,13.3100004196167
2024-01-31,9797.68,1635.57995605469,2048.39990234375,75.8499984741211,103.269996643066,2007,344493,2.26,14.3500003814697
2024-02-01,9888.86,1656.30004882812,2053.0,73.8199996948242,103.050003051758,947,577936,2.19,13.8800001144409
2024-02-02,10021.72,1654.33996582031,2036.09997558594,72.2799987792969,103.919998168945,888,467768,2.21,13.8500003814697
2024-02-05,10017.66,1659.4599609375,2025.69995117188,72.7799987792969,104.449996948242,412,350843,2.27,13.6700000762939
2024-02-06,9966.25,1677.46997070312,2034.5,73.3099975585938,104.180000305176,249,310955,2.24,13.0600004196167
2024-02-07,10145.02,1681.81994628906,2035.19995117188,73.8600006103516,104.040000915527,71,294955,2.23,12.8299999237061
2024-02-08,10256.3,1678.92004394531,2032.19995117188,76.2200012207031,104.150001525879,341,377906,2.24,12.789999961853
2024-02-09,10435.12,1678.0,2023.30004882812,76.8399963378906,104.080001831055,62,302612,2.25,12.9300003051758
2024-02-12,10371.7,1679.64001464844,2018.19995117188,76.9199981689453,104.169998168945,317,248476,2.24,13.9300003051758
